orig,pred
IDP,IDC
OLB,OLB
KEH,KEH
KEN,KEN
KPT,KPT
OLB,OLB
IDM,IDM
KPC,KPC
IDC,IDC
OSH,OUT
OUT,OUT
KOT,KOT
KPT,KPT
KFC,IDC
KOT,KOT
KAM,KAM
KIM,KIM
KPC,KPC
KEH,KEH
OLB,OLB
KOT,KOT
OLB,OUT
IDM,IDM
IDC,IDC
ORE,OAS
OUT,OUT
IDV,IDM
LIT,OUT
OSH,OUT
IDP,IDC
OAR,OAR
KAM,KAM
LIT,IDM
OAR,OAR
KEN,KEN
KPT,KPT
KOT,KOT
OUT,OUT
KEN,KEN
SYM,IDC
KFC,KFC
IDP,IDC
KIM,KIM
IDV,SYM
OAS,OAS
IDC,IDC
OAS,OAS
IDC,IDC
KEN,KEN
IDM,IDC
ORE,OAS
OSH,OUT
OAS,OAS
OUT,OUT
KOT,KOT
IDV,IDC
IDM,IDC
KFC,KFC
KPT,KPT
OAR,OAR
KEH,KEH
OSH,OUT
KEH,KEH
KPT,KPT
KEN,KEN
KIM,OLB
IDP,KEH
IDV,IDM
LIT,IDC
OUT,OUT
IDV,IDC
ORE,ORE
IDV,IDC
OAR,OAR
KPC,KPC
OSH,OUT
IDP,IDC
IDP,IDC
SYM,SYM
LIT,IDP
KPT,KPT
KEN,KEN
KPT,KPT
OUT,OUT
OUT,OUT
ORE,ORE
IDM,IDC
ORE,OAS
IDP,IDC
OSH,OUT
OAR,OAR
IDV,IDC
OUT,OUT
KEN,KEN
KPT,KPT
SYM,SYM
KPC,KPC
KEH,KEH
OAS,OAS
ORE,ORE
KEN,KEN
SYM,OUT
OAS,OAS
KEH,IDV
KEH,KEH
OAS,OAS
KPC,KPC
LIT,IDC
OSH,OUT
IDM,IDC
KPT,KPT
IDC,IDC
OAR,OAR
KPC,KPC
SYM,IDV
KPC,KPC
KOT,KOT
OLB,OLB
OSH,OUT
KAM,KAM
OLB,OLB
ORE,OAS
LIT,IDC
SYM,SYM
KAM,OUT
ORE,OAS
IDM,IDP
KEH,KEH
IDP,IDC
KAM,KAM
IDC,IDC
KAM,KAM
SYM,IDC
KOT,KOT
OAR,OAR
OLB,OLB
IDM,IDM
SYM,SYM
IDM,IDM
KPT,KPT
ORE,ORE
KFC,KFC
LIT,KPC
OUT,OUT
IDC,IDC
OAR,OAR
LIT,IDC
IDC,IDC
OLB,OLB
IDP,IDC
OLB,OLB
KAM,KAM
KEH,KEH
IDV,IDC
KFC,IDC
KAM,KAM
KFC,KFC
KFC,KFC
OSH,OUT
OUT,OUT
OAR,OAR
IDC,IDC
SYM,SYM
IDP,OUT
IDC,IDC
IDM,IDP
KEN,KEN
IDV,IDM
KFC,SYM
OAS,OAS
OSH,OUT
KIM,KIM
SYM,SYM
IDV,IDC
KAM,KAM
OAR,OAR
OAS,OAS
KFC,IDC
KIM,KIM
KOT,KOT
OAS,OAS
KAM,KAM
ORE,ORE
KIM,KIM
KOT,KOT
LIT,OUT
KFC,KFC
KPC,KPC
OAS,OAS
KIM,KIM
KEN,KEN
KIM,KIM
KPC,KPC
KEH,KEH
KIM,KIM
OLB,OLB
KIM,KIM
LIT,IDC
KOT,KOT
KPC,KPC
