orig,pred
KAM,KAM
OSH,OSH
KEH,OSH
KPT,KPT
LIT,LIT
IDM,IDC
ORE,SYM
KPC,KPC
KAM,KAM
IDM,OSH
KFC,SYM
IDP,IDC
SYM,SYM
LIT,IDC
OAR,SYM
OAR,OSH
LIT,SYM
KAM,KAM
IDC,IDC
KPC,KPC
IDV,OSH
KPT,KPT
KIM,KIM
KEH,OSH
OUT,OAR
ORE,ORE
KIM,KIM
KAM,KAM
OLB,OLB
ORE,ORE
OAS,OAS
KIM,KIM
KFC,SYM
OAS,OAS
SYM,SYM
KPT,KPT
KAM,KAM
OSH,OSH
KOT,KOT
KPC,KPC
KPC,KPC
OLB,OLB
IDC,IDC
IDV,IDC
ORE,ORE
IDV,IDC
KEH,KEH
KPT,KPT
LIT,LIT
IDP,IDC
SYM,SYM
KEH,KEH
KEN,KEN
ORE,ORE
KPT,KPT
OAS,OAS
KPT,KPT
IDM,OSH
OSH,OSH
KEH,KEH
KPT,KPT
IDP,IDC
KAM,KAM
KEH,KEH
OSH,OSH
KEN,KEN
IDM,IDM
OAS,OAS
SYM,SYM
KEH,KEH
IDV,IDC
LIT,SYM
KOT,KOT
IDC,IDC
ORE,ORE
KPC,KPC
KAM,KAM
IDP,OSH
OSH,OSH
IDV,OSH
IDV,IDC
SYM,SYM
IDV,IDC
KPT,KPT
KEN,KEN
KIM,KIM
IDP,KEH
OAR,SYM
OLB,OLB
KIM,OSH
KAM,KAM
KEN,KEN
OAS,OAS
OSH,OSH
OAR,OAR
IDM,IDM
IDV,KEN
ORE,ORE
KEH,KEH
OSH,OSH
OAS,OAS
ORE,ORE
OLB,OSH
KFC,KFC
OSH,OSH
IDC,OSH
KEH,KEH
KPC,KPC
KIM,KFC
KOT,KOT
KIM,KIM
OAR,OSH
IDP,OSH
KEH,OSH
OSH,OSH
OSH,OSH
IDP,KEH
IDC,IDC
ORE,ORE
IDM,OSH
IDP,OSH
KPC,KPC
OAR,SYM
KFC,SYM
KPT,KPT
SYM,SYM
IDV,IDC
OAR,OSH
IDP,KEH
OLB,OLB
OAR,SYM
IDC,IDC
KEN,KEN
IDM,SYM
KPT,KPT
IDC,IDC
LIT,LIT
KPC,KPC
IDC,IDC
IDV,OSH
SYM,SYM
KFC,KFC
IDP,KEH
ORE,SYM
IDC,IDC
OAS,OAS
KOT,OSH
KEN,KEN
KIM,KIM
KPT,KPT
IDP,OSH
IDC,IDC
OAR,OSH
OAS,OAS
OSH,OSH
LIT,LIT
ORE,ORE
ORE,ORE
SYM,SYM
IDC,IDC
OAR,OSH
OAS,OAS
KEN,KEN
KIM,KIM
OAS,OAS
OSH,OSH
IDC,IDC
OLB,OSH
IDV,IDC
KPC,KPC
IDC,IDC
IDC,OSH
LIT,KEN
KPC,KPC
OAR,OAR
SYM,SYM
KEH,KEH
KEN,KEN
OAS,OAS
OAR,OSH
IDM,IDC
IDM,IDM
KPT,KPT
IDV,OSH
IDP,IDC
OAS,OAS
KAM,KAM
OUT,OSH
SYM,SYM
LIT,LIT
LIT,LIT
IDP,IDC
KEH,KEH
KOT,KOT
OUT,OSH
KAM,KAM
KPT,KPT
KEN,KEN
IDP,IDC
IDC,OSH
KIM,KIM
OSH,OSH
KPC,KPC
KIM,KIM
OAS,OAS
IDM,IDC
IDC,IDC
OAS,OAS
IDV,OSH
KEH,KEH
KOT,OSH
OAR,SYM
KEH,KEH
ORE,ORE
IDM,IDC
OSH,OSH
OAS,OAS
KPC,KPC
IDV,IDC
KEN,KEN
IDV,IDC
KEN,KEN
ORE,SYM
