orig,pred
KAM,KAM
OSH,OUT
KEH,OSH
KPT,KPT
LIT,LIT
IDM,IDM
ORE,ORE
KPC,KPC
KAM,KAM
IDM,IDM
KFC,KFC
IDP,IDM
SYM,SYM
LIT,OLB
OAR,OAR
OAR,OAR
LIT,LIT
KAM,KAM
IDC,IDC
KPC,KPC
IDV,IDC
KPT,KPT
KIM,KIM
KEH,OSH
OUT,OUT
ORE,ORE
KIM,KIM
KAM,KAM
OLB,OLB
ORE,ORE
OAS,OAS
KIM,KIM
KFC,KFC
OAS,OAS
SYM,SYM
KPT,KPT
KAM,KAM
OSH,OUT
KOT,IDC
KPC,KPC
KPC,KPC
OLB,OLB
IDC,IDC
IDV,IDM
ORE,ORE
IDV,IDM
KEH,KEH
KPT,KPT
LIT,LIT
IDP,IDC
SYM,SYM
KEH,KEH
KEN,KEN
ORE,ORE
KPT,KPT
OAS,OAS
KPT,KPT
IDM,IDM
OSH,OUT
KEH,KEH
KPT,KPT
IDP,IDM
KAM,KAM
KEH,KEH
OSH,OUT
KEN,KEN
IDM,IDM
OAS,OAS
SYM,SYM
KEH,KEH
IDV,IDC
LIT,LIT
KOT,KOT
IDC,IDC
ORE,ORE
KPC,KPC
KAM,KAM
IDP,IDC
OSH,OUT
IDV,IDM
IDV,IDM
SYM,SYM
IDV,IDC
KPT,KPT
KEN,KEN
KIM,KIM
IDP,IDC
OAR,OAR
OLB,OLB
KIM,OSH
KAM,KAM
KEN,KEN
OAS,OAS
OSH,OUT
OAR,OAR
IDM,IDM
IDV,IDM
ORE,ORE
KEH,KEH
OSH,OUT
OAS,OAS
ORE,ORE
OLB,OLB
KFC,KFC
OSH,OUT
IDC,IDC
KEH,KEH
KPC,KPC
KIM,KPT
KOT,KOT
KIM,KIM
OAR,OAR
IDP,IDC
KEH,OSH
OSH,OUT
OSH,OUT
IDP,IDC
IDC,IDC
ORE,ORE
IDM,OAR
IDP,IDC
KPC,KPC
OAR,OAR
KFC,KFC
KPT,KPT
SYM,SYM
IDV,IDC
OAR,OAR
IDP,IDC
OLB,OLB
OAR,OAR
IDC,IDM
KEN,KEN
IDM,IDC
KPT,KPT
IDC,IDC
LIT,IDC
KPC,KPC
IDC,IDC
IDV,IDC
SYM,SYM
KFC,KFC
IDP,IDC
ORE,ORE
IDC,IDC
OAS,OAS
KOT,IDC
KEN,KEN
KIM,KIM
KPT,KPT
IDP,IDC
IDC,IDM
OAR,OAR
OAS,OAS
OSH,OUT
LIT,IDM
ORE,ORE
ORE,ORE
SYM,SYM
IDC,IDC
OAR,OAR
OAS,OAS
KEN,KEN
KIM,KIM
OAS,OAS
OSH,OUT
IDC,IDC
OLB,OLB
IDV,IDC
KPC,KPC
IDC,IDC
IDC,IDC
LIT,IDC
KPC,KPC
OAR,OAR
SYM,SYM
KEH,KEH
KEN,KEN
OAS,OAS
OAR,OAR
IDM,IDM
IDM,IDM
KPT,KPT
IDV,IDC
IDP,IDC
OAS,OAS
KAM,KAM
OUT,OUT
SYM,SYM
LIT,IDC
LIT,LIT
IDP,IDC
KEH,KEH
KOT,KOT
OUT,OUT
KAM,KAM
KPT,KPT
KEN,KEN
IDP,IDC
IDC,IDC
KIM,KIM
OSH,OUT
KPC,KPC
KIM,KIM
OAS,OAS
IDM,IDM
IDC,IDM
OAS,OAS
IDV,IDC
KEH,KEH
KOT,IDC
OAR,OAR
KEH,KEH
ORE,ORE
IDM,IDM
OSH,OUT
OAS,OAS
KPC,KPC
IDV,IDC
KEN,KEN
IDV,IDM
KEN,KEN
ORE,ORE
KAM,KAM
IDM,IDC
KEH,KEH
IDM,IDM
KIM,KPT
KAM,KAM
OUT,OUT
KPT,KPT
KEH,KEH
KAM,KAM
OAR,OAR
SYM,SYM
OAS,OAS
