orig,pred
IDP,IDV
OLB,OAS
KEH,OAS
KEN,KEN
KPT,OAS
OLB,OAS
IDM,KPC
KPC,KPC
IDC,OAS
OSH,OAS
OUT,OAS
KOT,OAS
KPT,OAS
KFC,OAS
KOT,IDV
KAM,OAS
KIM,OAS
KPC,KPC
KEH,OAS
OLB,OAS
KOT,OAS
OLB,OAS
IDM,OAS
IDC,OAS
ORE,OAS
OUT,OAS
IDV,OAS
LIT,OAS
OSH,OAS
IDP,OAS
OAR,OAS
KAM,OAS
LIT,OAS
OAR,OAS
KEN,KEN
KPT,OAS
KOT,OAS
OUT,OAS
KEN,KEN
SYM,OAS
KFC,OAS
IDP,OAS
KIM,OAS
IDV,OAS
OAS,OAS
IDC,OAS
OAS,OAS
IDC,IDM
KEN,KEN
IDM,OAS
ORE,OAS
OSH,OAS
OAS,OAS
OUT,OAS
KOT,OAS
IDV,KOT
IDM,OAS
KFC,OAS
KPT,OAS
OAR,OAS
KEH,OAS
OSH,OAS
KEH,OAS
KPT,OAS
KEN,KEN
KIM,KPC
IDP,OAS
IDV,OAS
LIT,OAS
OUT,OAS
IDV,KOT
ORE,OAS
IDV,KOT
OAR,OAS
KPC,KPC
OSH,OAS
IDP,IDV
IDP,OAS
SYM,OAS
LIT,OAS
KPT,OAS
KEN,KEN
KPT,OAS
OUT,OAS
OUT,OAS
ORE,OAS
IDM,OAS
ORE,OAS
IDP,OAS
OSH,OAS
OAR,OAS
IDV,KOT
OUT,OAS
KEN,KEN
KPT,OAS
SYM,OAS
KPC,KPC
KEH,OAS
OAS,OAS
ORE,OAS
KEN,KEN
SYM,OAS
OAS,OAS
KEH,OAS
KEH,OAS
OAS,OAS
KPC,KPC
LIT,OAS
OSH,OAS
IDM,KEN
KPT,OAS
IDC,KEN
OAR,OAS
KPC,KPC
SYM,OAS
KPC,KPC
KOT,OAS
OLB,OAS
OSH,OAS
KAM,OAS
OLB,OAS
ORE,OAS
LIT,OAS
SYM,OAS
KAM,OAS
ORE,OAS
IDM,KPC
KEH,OAS
IDP,OAS
KAM,OAS
IDC,KEN
KAM,OAS
SYM,OAS
KOT,IDV
OAR,OAS
OLB,OAS
IDM,IDV
SYM,OAS
IDM,OAS
KPT,OAS
ORE,OAS
KFC,OAS
LIT,OAS
OUT,OAS
IDC,OAS
OAR,OAS
LIT,OAS
IDC,OAS
OLB,OAS
IDP,OAS
OLB,OAS
KAM,OAS
KEH,OAS
IDV,OAS
KFC,OAS
KAM,OAS
KFC,OAS
KFC,OAS
OSH,OAS
OUT,OAS
OAR,OAS
IDC,OAS
SYM,OAS
IDP,OAS
IDC,IDV
IDM,OAS
KEN,KEN
IDV,OAS
KFC,OAS
OAS,OAS
OSH,OAS
KIM,OAS
SYM,OAS
IDV,KOT
KAM,OAS
OAR,OAS
OAS,OAS
KFC,OAS
KIM,OAS
KOT,OAS
OAS,OAS
KAM,OAS
ORE,OAS
KIM,OAS
KOT,OAS
LIT,OAS
KFC,OAS
KPC,KPC
OAS,OAS
KIM,OAS
KEN,KEN
KIM,OAS
KPC,KPC
KEH,OAS
KIM,OAS
OLB,OAS
KIM,OAS
LIT,OAS
KOT,OAS
KPC,KPC
