orig,pred
IDP,IDP
OLB,OLB
KEH,KEH
KEN,OAS
KPT,KPT
OLB,OLB
IDM,IDM
KPC,KPC
IDC,IDC
OSH,OSH
OUT,OUT
KOT,KOT
KPT,KPT
KFC,KFC
KOT,OAS
KAM,OAS
KIM,KIM
KPC,KPC
KEH,KEH
OLB,OAS
KOT,KOT
OLB,OLB
IDM,KOT
IDC,IDV
ORE,ORE
OUT,OUT
IDV,IDP
LIT,OAS
OSH,OSH
IDP,IDC
OAR,OAS
KAM,OAS
LIT,LIT
OAR,OAS
KEN,OAS
KPT,KPT
KOT,OAS
OUT,OUT
KEN,OAS
SYM,IDP
KFC,KFC
IDP,IDC
KIM,KIM
IDV,IDP
OAS,OAS
IDC,IDC
OAS,OAS
IDC,IDP
KEN,OAS
IDM,IDM
ORE,ORE
OSH,OSH
OAS,OAS
OUT,OAS
KOT,OAS
IDV,IDV
IDM,IDM
KFC,OUT
KPT,KPT
OAR,OAS
KEH,KEH
OSH,OSH
KEH,KEH
KPT,KPT
KEN,OAS
KIM,IDP
IDP,OAS
IDV,IDP
LIT,LIT
OUT,OUT
IDV,IDV
ORE,ORE
IDV,IDV
OAR,OAS
KPC,KPC
OSH,OSH
IDP,IDP
IDP,IDC
SYM,SYM
LIT,KEN
KPT,OUT
KEN,OAS
KPT,KPT
OUT,OUT
OUT,OUT
ORE,ORE
IDM,IDM
ORE,ORE
IDP,IDC
OSH,OSH
OAR,OAS
IDV,IDV
OUT,OUT
KEN,OAS
KPT,KPT
SYM,OUT
KPC,KPC
KEH,KEH
OAS,OAS
ORE,ORE
KEN,OAS
SYM,OAS
OAS,OAS
KEH,IDP
KEH,KEH
OAS,OAS
KPC,KPC
LIT,LIT
OSH,OSH
IDM,IDM
KPT,KPT
IDC,IDC
OAR,OAS
KPC,KPC
SYM,OAS
KPC,KPC
KOT,OAS
OLB,OLB
OSH,OSH
KAM,OAS
OLB,OAS
ORE,ORE
LIT,LIT
SYM,OUT
KAM,IDV
ORE,ORE
IDM,IDC
KEH,KEH
IDP,IDC
KAM,OAS
IDC,IDC
KAM,OAS
SYM,OAS
KOT,OAS
OAR,OAS
OLB,OLB
IDM,IDM
SYM,SYM
IDM,IDM
KPT,KPT
ORE,ORE
KFC,OUT
LIT,LIT
OUT,OUT
IDC,IDP
OAR,OAS
LIT,IDM
IDC,IDC
OLB,OLB
IDP,IDC
OLB,OLB
KAM,OAS
KEH,KEH
IDV,IDV
KFC,KFC
KAM,OAS
KFC,OUT
KFC,OUT
OSH,OSH
OUT,OUT
OAR,OAS
IDC,IDC
SYM,SYM
IDP,IDP
IDC,IDC
IDM,IDM
KEN,OAS
IDV,IDP
KFC,OUT
OAS,OAS
OSH,OSH
KIM,KIM
SYM,SYM
IDV,IDV
KAM,OAS
OAR,OAS
OAS,OAS
KFC,KFC
KIM,KIM
KOT,KOT
OAS,OAS
KAM,OAS
ORE,ORE
KIM,KIM
KOT,KOT
LIT,OAS
KFC,OUT
KPC,KPC
OAS,OAS
KIM,KIM
KEN,OAS
KIM,KIM
KPC,KPC
KEH,KEH
KIM,KIM
OLB,OLB
KIM,KIM
LIT,IDP
KOT,KOT
KPC,KPC
